Seconds,Python3.9,Python3.12,Python3.13
0.00,0.4039,0.4036,0.4128
0.10,0.4209,0.4044,0.4064
0.20,0.4187,0.4008,0.4051
0.30,0.4046,0.4017,0.4011
0.40,0.4032,0.4011,0.4004
0.50,0.4019,0.4015,0.4015
0.60,0.4016,0.4052,0.3971
0.70,0.4031,0.4029,0.4004
0.80,0.4054,0.4031,0.4017
0.90,0.4093,0.4041,0.3994
1.00,0.41,0.4145,0.4011
1.10,0.403,0.4031,0.3987
1.20,0.4023,0.4106,0.4014
1.30,0.4033,0.4071,0.4006
1.40,0.4035,0.4079,0.401
1.50,0.4136,0.4047,0.4001
1.60,0.412,0.4055,0.4017
1.70,0.4058,0.4059,0.4012
1.80,0.4039,0.4009,0.4025
1.90,0.4035,0.4006,0.3998
2.00,0.4031,0.4007,0.4001
2.10,0.4043,0.4016,0.402
2.20,0.4053,0.4007,0.4009
2.30,0.4069,0.401,0.399
2.40,0.4092,0.402,0.4014
2.50,0.429,0.4032,0.4072
2.60,0.4944,0.4168,0.43
2.70,0.4337,0.4166,0.4015
2.80,0.4464,0.4252,0.4255
2.90,0.4685,0.5183,0.4789
3.00,0.4095,0.433,0.4394
3.10,0.4104,0.4012,0.4022
3.20,0.4115,0.4019,0.4102
3.30,0.4116,0.4026,0.4252
3.40,0.411,0.4029,0.4147
3.50,0.4132,0.4021,0.4118
3.60,0.4118,0.399,0.412
3.70,0.4133,0.4006,0.4004
3.80,0.4087,0.4017,0.4015
3.90,0.4058,0.4038,0.4013
4.00,0.4079,0.4056,0.4016
4.10,0.4081,0.4027,0.4014
4.20,0.4062,0.4229,0.4021
4.30,0.4054,0.4002,0.4009
4.40,0.4044,0.4002,0.3999
4.50,0.4075,0.4003,0.4017
4.60,0.4099,0.4014,0.4012
4.70,0.4083,0.4016,0.402
4.80,0.4087,0.4001,0.4009
4.90,0.4071,0.4015,0.4003
5.00,0.4061,0.4015,0.4018
5.10,0.4086,0.4009,0.4046
5.20,0.4081,0.4056,0.4001
5.30,0.4072,0.4046,0.3982
5.40,0.4051,0.4046,0.3992
5.50,0.4058,0.4064,0.4045
5.60,0.4052,0.4003,0.4019
5.70,0.4044,0.3994,0.4123
5.80,0.4069,0.4,0.4085
5.90,0.4284,0.3986,0.4025
6.00,0.4871,0.44,0.4481
6.10,0.4174,0.4806,0.4077
6.20,0.4558,0.4191,0.4058
6.30,0.4504,0.4556,0.4688
6.40,0.4075,0.4193,0.4328
6.50,0.4066,0.4017,0.4019
6.60,0.4047,0.4016,0.4115
6.70,0.4037,0.402,0.409
6.80,0.4055,0.4017,0.4001
6.90,0.4041,0.4023,0.4012
7.00,0.4057,0.4034,0.4097
7.10,0.4073,0.4012,0.3991
7.20,0.4085,0.4016,0.3984
7.30,0.4153,0.402,0.3984
7.40,0.4123,0.401,0.3979
7.50,0.4025,0.4037,0.3978
7.60,0.4027,0.4171,0.398
7.70,0.4037,0.4046,0.3989
7.80,0.4036,0.4058,0.3997
7.90,0.4049,0.4023,0.4105
8.00,0.4042,0.3992,0.4155
8.10,0.4049,0.3993,0.4117
8.20,0.404,0.4009,0.4115
8.30,0.4042,0.4003,0.4122
8.40,0.4033,0.4001,0.4012
8.50,0.4043,0.4009,0.4016
8.60,0.4049,0.3996,0.4008
8.70,0.4074,0.4007,0.4014
8.80,0.4086,0.4019,0.4017
8.90,0.4126,0.4025,0.4018
9.00,0.4129,0.4038,0.4014
9.10,0.4148,0.4116,0.4152
9.20,0.4133,0.3999,0.4069
9.30,0.4441,0.3989,0.4082
9.40,0.4881,0.4502,0.4494
9.50,0.4192,0.472,0.4035
9.60,0.4758,0.4146,0.414
9.70,0.4439,0.4588,0.4637
9.80,0.4107,0.4161,0.4211
9.90,0.411,0.4098,0.3987
10.00,0.4118,0.4037,0.4167
10.10,0.4116,0.4007,0.4075
10.20,0.4104,0.4009,0.4004
10.30,0.4048,0.4015,0.4015
10.40,0.404,0.4022,0.4049
10.50,0.4069,0.4025,0.3991
10.60,0.4078,0.4019,0.3994
10.70,0.4056,0.402,0.4007
10.80,0.4065,0.4033,0.3995
10.90,0.4056,0.4083,0.4017
11.00,0.4044,0.4147,0.4033
11.10,0.4053,0.4021,0.4072
11.20,0.4086,0.4021,0.4024
11.30,0.4072,0.4041,0.3998
11.40,0.4065,0.4028,0.4009
11.50,0.4078,0.4003,0.3984
11.60,0.4089,0.4,0.4046
11.70,0.4072,0.4003,0.4073
11.80,0.4059,0.4004,0.399
11.90,0.4057,0.4113,0.3984
12.00,0.4052,0.4134,0.3979
12.10,0.4049,0.4129,0.3999
12.20,0.4063,0.4053,0.3989
12.30,0.4072,0.4011,0.3991
12.40,0.4053,0.4011,0.4025
12.50,0.4067,0.4009,0.4299
12.60,0.4055,0.4008,0.4165
12.70,0.4529,0.408,0.4233
12.80,0.4727,0.4607,0.4545
12.90,0.4127,0.4563,0.4074
13.00,0.4749,0.4112,0.4228
13.10,0.4246,0.4469,0.4616
13.20,0.4039,0.4023,0.4176
13.30,0.4043,0.4006,0.4016
13.40,0.406,0.4032,0.4194
13.50,0.4043,0.4027,0.4036
13.60,0.4032,0.4017,0.4005
13.70,0.4053,0.4006,0.4012
13.80,0.4048,0.4,0.401
13.90,0.4052,0.4017,0.4001
14.00,0.4053,0.4094,0.4009
14.10,0.4095,0.4195,0.4033
14.20,0.4036,0.4151,0.4063
14.30,0.4055,0.4155,0.401
14.40,0.4083,0.4129,0.3996
14.50,0.4073,0.4012,0.4019
14.60,0.4078,0.4015,0.4012
14.70,0.4081,0.401,0.4024
14.80,0.4063,0.4031,0.4048
14.90,0.4049,0.4021,0.4051
15.00,0.4081,0.3984,0.4007
15.10,0.4052,0.4005,0.3994
15.20,0.4046,0.4015,0.3994
15.30,0.4031,0.4007,0.4001
15.40,0.4079,0.4006,0.4002
15.50,0.4044,0.4019,0.4028
15.60,0.4035,0.4043,0.4112
15.70,0.4075,0.4032,0.4139
15.80,0.4052,0.3991,0.4124
15.90,0.4027,0.4032,0.4293
16.00,0.4027,0.4124,0.4052
16.10,0.465,0.4225,0.4215
16.20,0.4596,0.4865,0.4394
16.30,0.4155,0.4817,0.4013
16.40,0.4784,0.4297,0.4326
16.50,0.4181,0.4385,0.4626
16.60,0.4036,0.4102,0.4121
16.70,0.4031,0.4117,0.4016
16.80,0.4038,0.4133,0.421
16.90,0.4039,0.4051,0.4005
17.00,0.4043,0.401,0.401
17.10,0.4043,0.401,0.4001
17.20,0.4049,0.4011,0.4002
17.30,0.4047,0.4011,0.4012
17.40,0.4039,0.4034,0.3996
17.50,0.4035,0.4013,0.3988
17.60,0.4045,0.3997,0.4011
17.70,0.4058,0.4179,0.4048
17.80,0.407,0.4203,0.4023
17.90,0.4099,0.4112,0.4009
18.00,0.4127,0.41,0.401
18.10,0.4131,0.4103,0.3996
18.20,0.4135,0.4119,0.3997
18.30,0.412,0.4106,0.4014
18.40,0.4081,0.4103,0.4017
18.50,0.4087,0.4121,0.4018
18.60,0.4096,0.412,0.4099
18.70,0.4095,0.409,0.4128
18.80,0.4107,0.4101,0.4117
18.90,0.4118,0.4137,0.4128
19.00,0.4116,0.4064,0.4076
19.10,0.4111,0.4013,0.4022
19.20,0.4136,0.4034,0.4059
19.30,0.4123,0.4044,0.418
19.40,0.4154,0.4198,0.4011
19.50,0.4784,0.4201,0.4303
19.60,0.4479,0.4618,0.4311
19.70,0.4203,0.4549,0.4
19.80,0.4794,0.4095,0.4406
19.90,0.4108,0.4118,0.4547
20.00,0.4061,0.4117,0.408
20.10,0.4057,0.41,0.4055
20.20,0.4063,0.4129,0.4184
20.30,0.4074,0.4118,0.3993
20.40,0.4077,0.411,0.4026
20.50,0.4067,0.4098,0.41
20.60,0.4088,0.411,0.4119
20.70,0.4081,0.4109,0.4134
20.80,0.4076,0.4124,0.4109
20.90,0.4083,0.4107,0.4126
21.00,0.4062,0.407,0.4135
21.10,0.4059,0.4162,0.4108
21.20,0.4062,0.4069,0.4032
21.30,0.4066,0.4007,0.4025
21.40,0.4066,0.4013,0.401
21.50,0.4059,0.4032,0.4008
21.60,0.4062,0.402,0.4015
21.70,0.4058,0.402,0.4005
21.80,0.4054,0.4051,0.3996
21.90,0.4063,0.4088,0.4022
22.00,0.4066,0.4114,0.4095
22.10,0.4076,0.411,0.4117
22.20,0.4059,0.4098,0.413
22.30,0.4042,0.4109,0.4115
22.40,0.4038,0.4117,0.4137
22.50,0.4043,0.4102,0.4135
22.60,0.4053,0.4108,0.4161
22.70,0.405,0.4268,0.4167
22.80,0.4124,0.4754,0.4023
22.90,0.4793,0.4406,0.4377
23.00,0.4361,0.4619,0.4234
23.10,0.429,0.4235,0.4012
23.20,0.4691,0.4011,0.4529
23.30,0.4067,0.4015,0.4539
23.40,0.4061,0.4018,0.4159
23.50,0.4077,0.4025,0.4178
23.60,0.408,0.4013,0.4302
23.70,0.4086,0.4015,0.4123
23.80,0.4068,0.4064,0.4137
23.90,0.4049,0.4105,0.411
24.00,0.4057,0.4113,0.4058
24.10,0.4065,0.4107,0.4028
24.20,0.4053,0.4107,0.4035
24.30,0.4062,0.4117,0.4013
24.40,0.405,0.4107,0.4037
24.50,0.4072,0.4305,0.4037
24.60,0.4046,0.4146,0.3997
24.70,0.4057,0.4114,0.4034
24.80,0.4067,0.4088,0.4079
24.90,0.404,0.4131,0.4123
25.00,0.4028,0.4115,0.412
25.10,0.4029,0.4045,0.4146
25.20,0.4017,0.4019,0.4121
25.30,0.4044,0.4021,0.413
25.40,0.4119,0.4014,0.411
25.50,0.4126,0.4015,0.406
25.60,0.4119,0.4031,0.4024
25.70,0.4059,0.4023,0.4024
25.80,0.403,0.4014,0.4008
25.90,0.4034,0.4243,0.4009
26.00,0.4036,0.4305,0.4101
26.10,0.4044,0.4202,0.4106
26.20,0.4197,0.4802,0.4017
26.30,0.4829,0.4287,0.4594
26.40,0.4262,0.4719,0.4297
26.50,0.4404,0.4189,0.4149
26.60,0.4624,0.4117,0.4802
26.70,0.4063,0.412,0.4489
26.80,0.4072,0.4108,0.4099
26.90,0.41,0.41,0.4127
27.00,0.4128,0.4088,0.4142
27.10,0.4134,0.4031,0.4011
27.20,0.413,0.4013,0.4012
27.30,0.4115,0.4012,0.4011
27.40,0.4089,0.4017,0.4007
27.50,0.41,0.4016,0.3991
27.60,0.4103,0.4053,0.4047
27.70,0.4109,0.4031,0.4103
27.80,0.4115,0.4036,0.4118
27.90,0.412,0.4296,0.4113
28.00,0.4112,0.4117,0.4132
28.10,0.4112,0.4108,0.4122
28.20,0.4119,0.41,0.4137
28.30,0.412,0.4117,0.4077
28.40,0.4101,0.4119,0.4032
28.50,0.4062,0.4105,0.4031
28.60,0.4044,0.4104,0.4011
28.70,0.4068,0.4132,0.4011
28.80,0.4072,0.4103,0.4014
28.90,0.4063,0.4088,0.4005
29.00,0.4051,0.4109,0.3994
29.10,0.4052,0.4097,0.4046
29.20,0.4049,0.4031,0.4103
29.30,0.4056,0.4211,0.4182
29.40,0.4072,0.4205,0.4335
29.50,0.4078,0.4205,0.4802
29.60,0.4291,0.5014,0.4192
29.70,0.4907,0.4112,0.4156
29.80,0.4209,0.4227,0.4401
29.90,0.457,0.4117,0.4056
30.00,0.4507,0.4109,0.4297
30.10,0.4069,0.4118,0.4289
30.20,0.4063,0.4104,0.4011
30.30,0.4069,0.4102,0.411
30.40,0.4063,0.4121,0.412
30.50,0.4063,0.4111,0.4125
30.60,0.4105,0.4116,0.4117
30.70,0.4058,0.412,0.4123
30.80,0.4054,0.4123,0.4145
30.90,0.4066,0.4097,0.4129
31.00,0.4069,0.4111,0.4121
31.10,0.4073,0.4067,0.4122
31.20,0.4053,0.4055,0.4045
31.30,0.4044,0.4189,0.4028
31.40,0.4042,0.4013,0.4017
31.50,0.4043,0.4009,0.4005
31.60,0.4054,0.4027,0.4017
31.70,0.4049,0.4036,0.4012
31.80,0.4037,0.4017,0.3995
31.90,0.4047,0.4039,0.4012
32.00,0.405,0.4084,0.4087
32.10,0.4053,0.4109,0.4107
32.20,0.4057,0.4142,0.4118
32.30,0.4074,0.4112,0.4135
32.40,0.4076,0.4154,0.413
32.50,0.408,0.4323,0.4123
32.60,0.4069,0.431,0.4115
32.70,0.4053,0.411,0.4049
32.80,0.4053,0.4332,0.426
32.90,0.4054,0.44,0.4534
33.00,0.4387,0.4886,0.4035
33.10,0.4798,0.4059,0.4176
33.20,0.417,0.4219,0.4447
33.30,0.4663,0.4014,0.4017
33.40,0.4349,0.4019,0.4282
33.50,0.4044,0.401,0.4383
33.60,0.4031,0.4032,0.413
33.70,0.4034,0.4034,0.4286
33.80,0.4042,0.4016,0.4189
33.90,0.4043,0.4051,0.413
34.00,0.4049,0.4097,0.4069
34.10,0.414,0.4105,0.4029
34.20,0.4061,0.4111,0.4029
34.30,0.4037,0.4113,0.4008
34.40,0.4042,0.4192,0.4014
34.50,0.4065,0.4259,0.4013
34.60,0.4062,0.4118,0.3999
34.70,0.4079,0.412,0.4014
34.80,0.4107,0.4112,0.4055
34.90,0.4123,0.4108,0.4112
35.00,0.4136,0.4091,0.4147
35.10,0.4137,0.4107,0.4135
35.20,0.4115,0.4081,0.4157
35.30,0.4098,0.404,0.4132
35.40,0.4099,0.4013,0.4131
35.50,0.4103,0.4011,0.4074
35.60,0.4109,0.4008,0.403
35.70,0.4116,0.4085,0.4024
35.80,0.4115,0.4238,0.4015
35.90,0.4113,0.418,0.4013
36.00,0.4115,0.4046,0.4362
36.10,0.4117,0.4414,0.4244
36.20,0.4119,0.4687,0.4026
36.30,0.409,0.4329,0.4484
36.40,0.4534,0.4581,0.4401
36.50,0.4734,0.4105,0.4256
36.60,0.4109,0.4114,0.4522
36.70,0.476,0.4103,0.4274
36.80,0.4256,0.4124,0.4098
36.90,0.4047,0.41,0.4225
37.00,0.4054,0.4104,0.4047
37.10,0.4067,0.4095,0.4036
37.20,0.4075,0.4053,0.4012
37.30,0.407,0.4022,0.401
37.40,0.4076,0.4016,0.401
37.50,0.4079,0.4014,0.3996
37.60,0.408,0.4014,0.4024
37.70,0.4068,0.4025,0.4093
37.80,0.4061,0.4138,0.4127
37.90,0.4056,0.4143,0.4115
38.00,0.4053,0.4061,0.4125
38.10,0.4101,0.4084,0.4129
38.20,0.4065,0.4113,0.4133
38.30,0.4064,0.4112,0.4104
38.40,0.4064,0.4106,0.4041
38.50,0.4056,0.4106,0.4023
38.60,0.4058,0.4116,0.4021
38.70,0.4056,0.412,0.4009
38.80,0.4102,0.4102,0.4013
38.90,0.4082,0.4105,0.4008
39.00,0.4065,0.4109,0.3996
39.10,0.4083,0.4193,0.4025
39.20,0.4055,0.4298,0.4091
39.30,0.404,0.4152,0.4143
39.40,0.4047,0.4025,0.4558
39.50,0.4051,0.4408,0.4282
39.60,0.4042,0.4434,0.4386
39.70,0.4045,0.4206,0.4385
39.80,0.465,0.4232,0.4356
39.90,0.4612,0.4041,0.4093
40.00,0.4125,0.4061,0.4012
40.10,0.4823,0.4096,0.4161
40.20,0.4184,0.4109,0.4015
40.30,0.4077,0.4113,0.4007
40.40,0.4062,0.4105,0.3995
40.50,0.4058,0.4114,0.4032
40.60,0.4055,0.411,0.4097
40.70,0.4063,0.4111,0.4122
40.80,0.4051,0.4115,0.4124
40.90,0.409,0.411,0.4124
41.00,0.4121,0.424,0.4125
41.10,0.4134,0.418,0.4141
41.20,0.4094,0.4074,0.4096
41.30,0.4059,0.4056,0.4031
41.40,0.404,0.4026,0.4026
41.50,0.4029,0.4009,0.401
41.60,0.4032,0.4013,0.401
41.70,0.4028,0.4034,0.4013
41.80,0.4031,0.4022,0.4006
41.90,0.4027,0.4016,0.3992
42.00,0.4028,0.4044,0.4034
42.10,0.4032,0.4063,0.4099
42.20,0.4033,0.4096,0.4124
42.30,0.4035,0.4243,0.4127
42.40,0.4023,0.4355,0.4121
42.50,0.4049,0.4192,0.4125
42.60,0.4072,0.4121,0.4438
42.70,0.4123,0.4517,0.4221
42.80,0.4114,0.4399,0.417
42.90,0.4136,0.4465,0.4405
43.00,0.4106,0.4207,0.4213
43.10,0.4168,0.4343,0.4196
43.20,0.4885,0.4213,0.4377
43.30,0.4529,0.4039,0.4064
43.40,0.4236,0.4014,0.4146
43.50,0.4758,0.4012,0.4265
43.60,0.4087,0.4023,0.412
43.70,0.403,0.4067,0.4126
43.80,0.4039,0.4013,0.4127
43.90,0.4027,0.4028,0.4132
44.00,0.4038,0.4055,0.4122
44.10,0.4059,0.4066,0.4055
44.20,0.4108,0.431,0.4034
44.30,0.4106,0.4142,0.4022
44.40,0.4137,0.4109,0.4007
44.50,0.4107,0.4107,0.4015
44.60,0.4133,0.4132,0.4039
44.70,0.4105,0.4113,0.4017
44.80,0.4126,0.4125,0.4013
44.90,0.4122,0.411,0.408
45.00,0.4119,0.4104,0.4104
45.10,0.4065,0.4109,0.4118
45.20,0.4056,0.4099,0.4125
45.30,0.403,0.4065,0.4127
45.40,0.4032,0.4052,0.4131
45.50,0.4034,0.4024,0.4117
45.60,0.4022,0.4171,0.4056
45.70,0.4052,0.4192,0.4028
45.80,0.4075,0.4081,0.4192
45.90,0.4106,0.4303,0.412
46.00,0.4125,0.4252,0.4315
46.10,0.4139,0.464,0.4306
46.20,0.4101,0.415,0.4123
46.30,0.4141,0.4269,0.4269
46.40,0.41,0.419,0.4107
46.50,0.4224,0.4301,0.4405
46.60,0.4805,0.4131,0.4553
46.70,0.4362,0.4121,0.4178
46.80,0.431,0.4111,0.4215
46.90,0.4659,0.41,0.4194
47.00,0.4064,0.4118,0.4037
47.10,0.4039,0.4115,0.4028
47.20,0.4031,0.4071,0.4015
47.30,0.4059,0.4057,0.4007
47.40,0.4098,0.4043,0.4015
47.50,0.4105,0.4019,0.4001
47.60,0.4122,0.4205,0.4007
47.70,0.4116,0.403,0.4047
47.80,0.4124,0.4024,0.4092
47.90,0.4115,0.4016,0.4108
48.00,0.4117,0.4033,0.4129
48.10,0.4119,0.4065,0.413
48.20,0.4123,0.4089,0.4126
48.30,0.4072,0.41,0.412
48.40,0.4061,0.4112,0.4095
48.50,0.4038,0.4143,0.4038
48.60,0.4027,0.4123,0.4029
48.70,0.4039,0.4108,0.4014
48.80,0.4026,0.4117,0.4008
48.90,0.4044,0.4115,0.4016
49.00,0.4062,0.431,0.4004
49.10,0.4111,0.4306,0.4011
49.20,0.4098,0.4129,0.4267
49.30,0.4142,0.4431,0.4241
49.40,0.4102,0.4204,0.4512
49.50,0.4139,0.452,0.4667
49.60,0.4099,0.4103,0.4201
49.70,0.4303,0.4216,0.4154
49.80,0.4555,0.406,0.428
49.90,0.4126,0.4233,0.4478
50.00,0.4385,0.4074,0.4128
50.10,0.4401,0.407,0.4134
50.20,0.4359,0.4078,0.4136
50.30,0.437,0.4108,
50.40,0.4034,0.4119,
50.50,0.4061,0.4107,
50.60,0.4098,0.4112,
50.70,0.4126,0.4111,
50.80,0.4129,0.41,
50.90,0.4114,0.4143,
51.00,0.4124,0.4277,
51.10,0.4136,0.4099,
51.20,0.4122,0.4113,
51.30,0.4122,0.4079,
51.40,0.412,0.405,
51.50,0.4129,0.4045,
51.60,0.4059,0.4022,
51.70,0.4043,0.4006,
51.80,0.4028,0.4029,
51.90,0.4038,0.4027,
52.00,0.4024,0.4011,
52.10,0.4042,0.4083,
52.20,0.4064,0.4325,
52.30,0.4111,0.4288,
52.40,0.4095,0.4109,
52.50,0.4144,0.4319,
52.60,0.4098,0.433,
52.70,0.4142,0.4806,
52.80,0.41,0.4119,
52.90,0.4128,0.4091,
53.00,0.4121,0.4121,
53.10,0.4338,0.4339,
53.20,0.4484,0.4134,
53.30,0.4068,0.4219,
53.40,0.4448,0.4056,
53.50,0.4285,0.4029,
53.60,0.4461,0.402,
53.70,0.4312,0.4017,
53.80,0.4102,0.4014,
53.90,0.41,0.4012,
54.00,0.4135,0.4025,
54.10,0.4111,0.413,
54.20,0.4132,0.4219,
54.30,0.4112,0.4074,
54.40,0.4118,0.4116,
54.50,0.4129,0.4117,
54.60,0.4107,0.4098,
54.70,0.407,0.411,
54.80,0.4064,0.4124,
54.90,0.4036,0.411,
55.00,0.4032,0.4104,
55.10,0.4035,0.4114,
55.20,0.4033,0.4116,
55.30,0.4056,0.4084,
55.40,0.4077,0.4135,
55.50,0.411,0.4246,
55.60,0.4101,0.4198,
55.70,0.4141,0.4183,
55.80,0.4092,0.4126,
55.90,0.4152,0.4309,
56.00,0.409,0.4255,
56.10,0.4143,0.4254,
56.20,0.4116,0.4047,
56.30,0.4097,0.4084,
56.40,0.406,0.4146,
56.50,0.4424,0.4311,
56.60,0.4656,0.4174,
56.70,0.4157,0.4262,
56.80,0.4603,0.4122,
56.90,0.4183,0.4115,
57.00,0.4258,0.41,
57.10,0.4178,0.4123,
57.20,0.4148,0.412,
57.30,0.4092,0.4125,
57.40,0.4145,0.4129,
57.50,0.4095,0.4233,
57.60,0.4133,0.4264,
57.70,0.4117,0.407,
57.80,0.4111,0.4114,
57.90,0.4062,0.4137,
58.00,0.4064,,
58.10,0.4031,,
58.20,0.4034,,
58.30,0.4034,,
58.40,0.402,,
58.50,0.4061,,
58.60,0.4078,,
58.70,0.4111,,
58.80,0.4107,,
58.90,0.4137,,
59.00,0.4107,,
59.10,0.4137,,
59.20,0.4106,,
59.30,0.4129,,
59.40,0.412,,
59.50,0.4091,,
59.60,0.4059,,
59.70,0.4137,,
59.80,0.4167,,
59.90,0.4454,,
60.00,0.4895,,
60.10,0.4255,,
60.20,0.4484,,
60.30,0.4155,,
60.40,0.4132,,
60.50,0.4103,,
60.60,0.4137,,
60.70,0.4095,,
60.80,0.4143,,
60.90,0.4119,,
61.00,0.4103,,
61.10,0.4063,,
61.20,0.4051,,
61.30,0.403,,
61.40,0.4033,,
61.50,0.4032,,
61.60,0.4032,,
61.70,0.4065,,
61.80,0.4081,,
61.90,0.4111,,
62.00,0.4114,,
62.10,0.4126,,
62.20,0.4112,,
62.30,0.4128,,
62.40,0.4108,,
62.50,0.413,,
62.60,0.411,,
62.70,0.4087,,
62.80,0.4065,,
62.90,0.4042,,
63.00,0.403,,
63.10,0.4148,,
63.20,0.4148,,
63.30,0.4671,,
63.40,0.4903,,
63.50,0.4243,,
63.60,0.4537,,
63.70,0.4119,,
63.80,0.4129,,
63.90,0.4097,,
64.00,0.4137,,
64.10,0.4101,,
64.20,0.4105,,
64.30,0.4062,,
64.40,0.4049,,
64.50,0.4031,,
64.60,0.4033,,
64.70,0.4035,,
64.80,0.4036,,
64.90,0.4066,,
65.00,0.4079,,
65.10,0.4113,,
65.20,0.4115,,
65.30,0.4127,,
65.40,0.4113,,
65.50,0.4127,,
65.60,0.4109,,
65.70,0.4126,,
65.80,0.4111,,
65.90,0.4079,,
66.00,0.4067,,
66.10,0.4039,,
66.20,0.403,,
66.30,0.4054,,
66.40,0.4032,,
66.50,0.4351,,
66.60,0.4329,,
66.70,0.4794,,
66.80,0.4932,,
66.90,0.4184,,
67.00,0.4351,,
67.10,0.4106,,
67.20,0.4125,,
67.30,0.4111,,
67.40,0.4083,,
67.50,0.4066,,
67.60,0.4039,,
67.70,0.4031,,
67.80,0.4035,,
67.90,0.4032,,
68.00,0.404,,
68.10,0.407,,
68.20,0.4092,,
68.30,0.4108,,
68.40,0.4129,,
68.50,0.4111,,
68.60,0.4126,,
68.70,0.4113,,
68.80,0.4122,,
68.90,0.4117,,
69.00,0.4111,,
69.10,0.4065,,
69.20,0.4065,,
69.30,0.4035,,
69.40,0.403,,
69.50,0.4054,,
69.60,0.403,,
69.70,0.405,,
69.80,0.4214,,
69.90,0.4957,,
70.00,0.4374,,
70.10,0.4466,,
70.20,0.4789,,
70.30,0.4112,,
70.40,0.4125,,
70.50,0.4109,,
70.60,0.4078,,
70.70,0.4061,,
70.80,0.4049,,
70.90,0.4038,,
71.00,0.4037,,
71.10,0.403,,
71.20,0.4047,,
71.30,0.4071,,
71.40,0.4102,,
71.50,0.4105,,
71.60,0.4132,,
71.70,0.4112,,
71.80,0.4128,,
71.90,0.4113,,
72.00,0.4124,,
72.10,0.4117,,
72.20,0.411,,
72.30,0.4074,,
72.40,0.4053,,
72.50,0.4037,,
72.60,0.4034,,
72.70,0.403,,
72.80,0.4032,,
72.90,0.4055,,
73.00,0.4074,,
73.10,0.4115,,
73.20,0.4321,,
73.30,0.5023,,
73.40,0.4272,,
73.50,0.4596,,
73.60,0.4636,,
73.70,0.4114,,
73.80,0.4072,,
73.90,0.4052,,
74.00,0.4038,,
74.10,0.403,,
74.20,0.4035,,
74.30,0.4028,,
74.40,0.4044,,
74.50,0.4073,,
74.60,0.4114,,
74.70,0.4111,,
74.80,0.4146,,
74.90,0.4113,,
75.00,0.4121,,
75.10,0.4112,,
75.20,0.412,,
75.30,0.4126,,
75.40,0.4129,,
75.50,0.4134,,
75.60,0.4131,,
75.70,0.4127,,
75.80,0.4112,,
75.90,0.4087,,